CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME
1017482|356016|555094,Submit,Submit,16/4/2018 16:12:52
1017482|356016|555094,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,24/4/2018 10:56:45
1017482|356016|555094,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,24/4/2018 13:41:04
1017482|356016|555094,AR - Not Satisfied - ELR,AR - Not Satisfied - English language proficiency,24/4/2018 14:02:20
1017482|356016|555094,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,24/4/2018 14:18:23
1017482|356016|555094,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,24/4/2018 14:18:23
1071773|430925|667368,Submit,Submit,5/2/2019 7:06:48
1071773|430925|667368,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,18/2/2019 14:59:03
1071773|430925|667368,AR - Satisfied - previous or current study,AR - Satisfied - Transcript � My eQuals,18/2/2019 14:59:27
1071773|430925|667368,OC - Created - Other,OC - Created - English language requirements,18/2/2019 15:00:26
1071773|430925|667368,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,18/2/2019 15:13:01
1071773|430925|667369,Submit,Submit,5/2/2019 7:06:48
1071773|430925|667369,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,18/2/2019 14:59:03
1071773|430925|667369,AR - Satisfied - previous or current study,AR - Satisfied - Transcript � My eQuals,18/2/2019 14:59:27
1071773|430925|667369,OC - Created - Other,OC - Created - English language requirements,18/2/2019 15:00:26
1071773|430925|667369,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,18/2/2019 15:16:44
1071773|430925|667369,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,18/2/2019 15:16:44
1040850|475074|728893,Submit,Submit,10/4/2019 11:33:50
1040850|475074|728893,AR - Satisfied - entry points,AR - Satisfied - Entry points (Master of Information Technology),11/4/2019 17:07:41
1040850|475074|728893,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,11/4/2019 17:12:14
1040850|475074|728893,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,11/4/2019 17:37:55
1040850|475074|728893,AR - Satisfied - specialisation,AR - Satisfied - Specialisation (Master of Information Technology),11/4/2019 17:38:01
1040850|475074|728893,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),11/4/2019 17:38:18
1040850|475074|728893,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,20/5/2019 15:42:46
1071773|430925|667367,Submit,Submit,5/2/2019 7:06:48
1071773|430925|667367,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,18/2/2019 14:59:03
1071773|430925|667367,AR - Satisfied - previous or current study,AR - Satisfied - Transcript � My eQuals,18/2/2019 14:59:27
1071773|430925|667367,OC - Created - Other,OC - Created - English language requirements,18/2/2019 15:00:26
1071773|430925|667367,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,18/2/2019 15:11:58
1071773|430925|667367,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,18/2/2019 15:12:26
1017482|356016|555093,Submit,Submit,16/4/2018 16:12:52
1017482|356016|555093,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,24/4/2018 10:56:45
1017482|356016|555093,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),24/4/2018 13:38:04
1017482|356016|555093,AR - Satisfied - Other,AR - Satisfied - Assessment information (Coursework) (1),24/4/2018 13:38:46
1017482|356016|555093,AR - Not Satisfied - ELR,AR - Not Satisfied - English language proficiency,24/4/2018 14:02:20
1017482|356016|555093,OC - Created - Other,OC - Created - English language requirements,24/4/2018 14:03:24
1017482|356016|555093,AR - Requested - work experience,AR - Requested - Curriculum Vitae and professional experience,24/4/2018 14:04:08
1017482|356016|555093,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,24/4/2018 14:05:43
1017482|356016|555093,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,24/4/2018 14:05:43
