CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
1076747|438001|677047,Submit,Submit,2/1/2019 12:57:04,9 days 1 hours 49 minutes 28 seconds,784168.0
1076747|438001|677047,Send for Assessment,Send for Assessment,11/1/2019 14:46:32,NA,0.0
370421|359353|560158,Submit,Submit,1/5/2018 23:36:36,13 days 11 hours 20 minutes 9 seconds,1164009.0
370421|359353|560158,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,15/5/2018 10:56:45,0 days 0 hours 0 minutes 13 seconds,13.0
370421|359353|560158,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,15/5/2018 10:56:58,0 days 0 hours 0 minutes 57 seconds,57.0
370421|359353|560158,Send for Assessment,Send for Assessment,15/5/2018 10:57:55,NA,0.0
783739|454578|698529,Submit,Submit,30/1/2019 21:12:50,0 days 9 hours 59 minutes 55 seconds,35995.0
783739|454578|698529,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,31/1/2019 7:12:45,0 days 0 hours 0 minutes 32 seconds,32.0
783739|454578|698529,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,31/1/2019 7:13:17,1 days 3 hours 44 minutes 16 seconds,99856.0
783739|454578|698529,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,1/2/2019 10:57:33,0 days 0 hours 0 minutes 16 seconds,16.0
783739|454578|698529,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,1/2/2019 10:57:49,0 days 0 hours 0 minutes 27 seconds,27.0
783739|454578|698529,Send for Assessment,Send for Assessment,1/2/2019 10:58:16,NA,0.0
830762|432576|669850,Submit,Submit,14/12/2018 15:04:31,0 days 23 hours 18 minutes 46 seconds,83926.0
830762|432576|669850,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,15/12/2018 14:23:17,0 days 0 hours 0 minutes 44 seconds,44.0
830762|432576|669850,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,15/12/2018 14:24:01,38 days 0 hours 53 minutes 39 seconds,3286419.0
830762|432576|669850,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,22/1/2019 15:17:40,0 days 0 hours 1 minutes 21 seconds,81.0
830762|432576|669850,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,22/1/2019 15:19:01,0 days 0 hours 0 minutes 7 seconds,7.0
830762|432576|669850,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,22/1/2019 15:19:08,0 days 0 hours 0 minutes 7 seconds,7.0
830762|432576|669850,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,22/1/2019 15:19:15,0 days 0 hours 0 minutes 40 seconds,40.0
830762|432576|669850,Send for Assessment,Send for Assessment,22/1/2019 15:19:55,NA,0.0
875412|430086|666232,Submit,Submit,19/11/2018 8:18:40,8 days 2 hours 29 minutes 6 seconds,700146.0
875412|430086|666232,AR - Requested - applicant demographics,AR - Requested - Payment of international application fee,27/11/2018 10:47:46,0 days 0 hours 0 minutes 0 seconds,0.0
875412|430086|666232,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,27/11/2018 10:47:46,0 days 0 hours 0 minutes 0 seconds,0.0
875412|430086|666232,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,27/11/2018 10:47:46,0 days 0 hours 0 minutes 0 seconds,0.0
875412|430086|666232,AR - Satisfied - work experience,AR - Satisfied - Curriculum Vitae and professional experience,27/11/2018 10:47:46,0 days 0 hours 2 minutes 5 seconds,125.0
875412|430086|666232,Put Triage On-Hold,Put Triage On-Hold,27/11/2018 10:49:51,9 days 23 hours 57 minutes 55 seconds,863875.0
875412|430086|666232,AR - Created - applicant demographics,AR - Created - Payment of international application fee,7/12/2018 10:47:46,NA,0.0
835863|420477|651606,Submit,Submit,14/11/2018 22:23:35,1 days 7 hours 54 minutes 28 seconds,114868.0
835863|420477|651606,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,16/11/2018 6:18:03,0 days 0 hours 0 minutes 33 seconds,33.0
835863|420477|651606,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,16/11/2018 6:18:36,6 days 9 hours 10 minutes 16 seconds,551416.0
835863|420477|651606,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,22/11/2018 15:28:52,0 days 0 hours 0 minutes 9 seconds,9.0
835863|420477|651606,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,22/11/2018 15:29:01,0 days 0 hours 0 minutes 6 seconds,6.0
835863|420477|651606,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,22/11/2018 15:29:07,0 days 0 hours 0 minutes 8 seconds,8.0
835863|420477|651606,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,22/11/2018 15:29:15,0 days 0 hours 10 minutes 54 seconds,654.0
835863|420477|651606,Send for Assessment,Send for Assessment,22/11/2018 15:40:09,NA,0.0
