CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME
978908|305595|484097,Submit without notification,Submit without notification,13/11/2017 9:07:10
978908|305595|484097,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,15/11/2017 9:47:59
978908|305595|484097,AR - Satisfied - agent,AR - Satisfied - Appointment of authorised representative,15/11/2017 9:48:17
978908|305595|484097,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,15/11/2017 9:48:35
978908|305595|484097,AR - Created - further information,AR - Created - Further information (2),15/11/2017 9:49:26
978908|305595|484097,AR - Created - applicant demographics,AR - Created - Payment of international application fee,15/11/2017 9:50:34
978908|305595|484097,Put Triage On-Hold,Put Triage On-Hold,15/11/2017 9:51:06
978908|305595|484097,AR - Satisfied - applicant demographics,AR - Satisfied - Payment of international application fee,12/12/2017 12:25:08
978908|305595|484097,AR - Satisfied - further information,AR - Satisfied - Further information (2),8/1/2018 17:22:19
978908|305595|484097,Release Triage Hold,Release Triage Hold,8/1/2018 17:22:45
978908|305595|484097,Send for Assessment,Send for Assessment,8/1/2018 17:22:52
978908|305595|484097,Assessment Decision - Qualified,Assessment Decision - Qualified,22/1/2018 15:39:32
978908|305595|484097,OC - Created - Other,OC - Created - Evidence of course completion,9/2/2018 9:57:24
978908|305595|484097,Assessment Outcome - Successful,Assessment Outcome - Successful,9/2/2018 9:58:26
978908|305595|484097,Create Offer,Create Offer,9/2/2018 9:58:43
978908|305595|484097,Release Offer,Release Offer,9/2/2018 10:00:36
978908|305595|484097,Defer,Defer,22/6/2018 10:58:49
978908|305595|484097,Cancel,Cancel,17/8/2018 13:58:14
978908|305595|484097,Restart Offer Workflow,Restart Offer Workflow,17/8/2018 13:58:39
978908|305595|484097,Release Offer,Release Offer,17/8/2018 13:59:24
978908|305595|484097,OC - Satisfied - Other,OC - Satisfied - Evidence of course completion,28/8/2018 9:14:18
978908|305595|484097,OC - Created - Other,OC - Created - Overseas Student Health Cover details,28/8/2018 17:39:23
978908|305595|484097,OC - Satisfied - Other,OC - Satisfied - Overseas Student Health Cover details,28/8/2018 17:40:07
978908|305595|484097,Accept,Accept,28/8/2018 17:43:59
978908|305595|484097,Manage Acceptance,Manage Acceptance,28/8/2018 17:44:04
978908|305595|484097,Finalise,Finalise,28/8/2018 17:46:07
978908|305595|484097,Allow Workflow Restart,Allow Workflow Restart,28/8/2018 17:46:13
978908|305595|484097,Restart Offer Workflow,Restart Offer Workflow,30/10/2018 17:26:00
978908|305595|484097,Release Offer,Release Offer,30/10/2018 17:30:47
978908|305595|484097,Accept,Accept,30/10/2018 17:31:44
978908|305595|484097,Manage Acceptance,Manage Acceptance,30/10/2018 17:31:53
