CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME
1076747|438001|677047,Release Offer,Release Offer,15/1/2019 17:25:38
1076747|438001|677047,Accept,Accept,16/1/2019 18:38:41
783739|454578|698529,Release Offer,Release Offer,5/2/2019 14:10:53
1138305|515182|790060,Release Offer,Release Offer,13/12/2019 16:36:08
1138305|515182|790060,Accept,Accept,7/1/2020 16:00:09
1037562|386109|651820,Release Offer,Release Offer,15/11/2018 10:58:17
1037562|386109|651820,PREPARE TO LOCK,PREPARE TO LOCK,15/11/2018 10:58:35
1037562|386109|651820,Back to Perform Assessment,Back to Perform Assessment,15/11/2018 11:09:49
1037562|386109|651820,Accept,Accept,15/11/2018 21:17:38
1052649|403155|625720,Release Offer,Release Offer,1/11/2018 14:26:01
1052649|403155|625720,Accept,Accept,10/11/2018 14:48:28
1114684|484215|743082,Release Offer,Release Offer,3/7/2019 9:38:35
1114684|484215|743082,AR - Satisfied - GAM,AR - Satisfied - Graduate Access Melbourne,9/7/2019 14:40:18
1114684|484215|743082,Accept,Accept,10/7/2019 16:00:24
1062725|419008|649432,Release Offer,Release Offer,10/1/2019 11:32:28
1062725|419008|649432,OC - Created - Other,OC - Created - Evidence of course completion,10/1/2019 11:37:03
1062725|419008|649432,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),11/1/2019 15:08:00
1062725|419008|649432,Decline,Decline,16/2/2019 3:48:01
1068985|426862|661450,Release Offer,Release Offer,24/12/2018 10:53:38
1068985|426862|661450,Accept,Accept,8/1/2019 20:52:31
660857|474347|727887,Release Offer,Release Offer,21/5/2019 14:58:05
660857|474347|727887,Accept,Accept,7/6/2019 19:19:28
1061850|416881|646276,Release Offer,Release Offer,26/3/2019 16:36:20
354059|390663|608273,Release Offer,Release Offer,18/10/2018 11:18:37
354059|390663|608273,OC - Created - Other,OC - Created - Evidence of course completion,18/10/2018 11:19:02
354059|390663|608273,OC - Satisfied - Other,OC - Satisfied - English language requirements,29/10/2018 15:46:32
354059|390663|608273,OC - Satisfied - Other,OC - Satisfied - Evidence of course completion,29/10/2018 15:47:15
354059|390663|608273,Accept,Accept,21/11/2018 9:47:55
1132420|507235|778296,Release Offer,Release Offer,12/10/2019 11:28:50
1132420|507235|778296,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),15/10/2019 9:06:54
1132420|507235|778296,Defer,Defer,29/1/2020 15:20:23
1037818|382051|595063,Release Offer,Release Offer,14/9/2018 12:16:26
1103842|474147|727584,Release Offer,Release Offer,28/5/2019 14:09:08
1103842|474147|727584,OC - Created - Other,OC - Created - Evidence of course completion,28/5/2019 14:20:26
1110447|479220|735089,Release Offer,Release Offer,12/6/2019 13:20:27
1110447|479220|735089,Accept,Accept,12/6/2019 22:59:03
1111306|480248|736601,Release Offer,Release Offer,11/5/2019 14:35:31
1111306|480248|736601,Accept,Accept,24/5/2019 18:34:18
1090139|454580|698531,Release Offer,Release Offer,7/2/2019 15:19:30
1090139|454580|698531,Accept,Accept,14/2/2019 22:08:03
161176|451563|693990,Release Offer,Release Offer,26/2/2019 8:58:27
161176|451563|693990,Accept,Accept,28/2/2019 16:56:59
1034720|382304|595455,Release Offer,Release Offer,13/9/2018 16:26:29
1034720|382304|595455,OC - Satisfied - Other,OC - Satisfied - English language requirements,13/9/2018 16:31:11
1034720|382304|595455,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),14/9/2018 14:38:31
1034720|382304|595455,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,14/9/2018 14:39:25
1034720|382304|595455,Defer,Defer,13/2/2019 15:21:51
1110498|479274|735167,Release Offer,Release Offer,16/5/2019 15:38:32
1110498|479274|735167,Accept,Accept,25/5/2019 22:06:33
1021374|372858|581409,Release Offer,Release Offer,15/8/2018 11:56:24
1027704|369135|575961,Release Offer,Release Offer,28/8/2018 13:16:53
1027704|369135|575961,Assessment Decision - Qualified,Assessment Decision - Qualified,29/8/2018 14:57:44
1027704|369135|575961,Assessment Decision - Qualified,Assessment Decision - Qualified,29/8/2018 14:58:36
1027704|369135|575961,Accept,Accept,24/9/2018 22:26:09
1105143|473407|726500,Release Offer,Release Offer,11/5/2019 12:35:30
1045755|392141|610470,Release Offer,Release Offer,12/10/2018 14:27:08
1045755|392141|610470,Accept,Accept,1/12/2018 1:17:38
722408|378330|589526,Release Offer,Release Offer,10/9/2018 16:54:17
722408|378330|589526,OC - Satisfied - Other,OC - Satisfied - Evidence of course completion,14/12/2018 12:27:57
722408|378330|589526,Defer,Defer,3/6/2019 12:27:49
960006|404758|627917,Release Offer,Release Offer,13/10/2018 14:13:38
960006|404758|627917,Accept,Accept,25/10/2018 15:34:36
70289|574074|874352,Release Offer,Release Offer,24/1/2020 16:08:02
70289|574074|874352,Accept,Accept,27/1/2020 20:51:42
358736|430948|667405,Release Offer,Release Offer,4/1/2019 11:51:10
1069136|427820|662838,Release Offer,Release Offer,7/1/2019 12:41:22
1069136|427063|661781,Release Offer,Release Offer,3/1/2019 16:14:02
1168534|560047|856798,Release Offer,Release Offer,10/1/2020 10:39:51
1168534|560047|856798,Accept,Accept,4/2/2020 12:52:19
1022190|362029|564420,Release Offer,Release Offer,18/7/2018 10:30:26
1022190|362029|564420,Accept,Accept,10/9/2018 17:34:03
1020768|360055|561313,Release Offer,Release Offer,1/8/2018 10:54:09
1020768|360055|561313,Accept,Accept,4/8/2018 21:32:30
1111707|486687|747236,Release Offer,Release Offer,1/7/2019 14:18:28
1111707|486687|747236,Manage Acceptance,Manage Acceptance,7/7/2019 10:55:41
1111707|486687|747236,Accept,Accept,7/7/2019 10:55:41
1153045|537241|822220,Release Offer,Release Offer,11/12/2019 10:37:20
