CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
722111|418134|648088,Send for Assessment,Send for Assessment,26/11/2018 16:59:07,4 days 17 hours 40 minutes 41 seconds,409241.0
722111|418134|648088,Assessment Decision - Qualified,Assessment Decision - Qualified,1/12/2018 10:39:48,7 days 3 hours 17 minutes 7 seconds,616627.0
722111|418134|648088,OC - Created - Other,OC - Created - Evidence of course completion,8/12/2018 13:56:55,0 days 0 hours 1 minutes 0 seconds,60.0
722111|418134|648088,Assessment Outcome - Successful,Assessment Outcome - Successful,8/12/2018 13:57:55,NA,0.0
833467|384144|598265,Send for Assessment,Send for Assessment,23/8/2018 13:22:10,4 days 20 hours 23 minutes 22 seconds,419002.0
833467|384144|598265,Assessment Decision - Qualified,Assessment Decision - Qualified,28/8/2018 9:45:32,2 days 1 hours 50 minutes 36 seconds,179436.0
833467|384144|598265,Assessment Outcome - Successful,Assessment Outcome - Successful,30/8/2018 11:36:08,NA,0.0
757030|545810|835652,Send for Assessment,Send for Assessment,19/11/2019 11:04:45,NA,0.0
836506|423290|655565,Send for Assessment,Send for Assessment,26/11/2018 16:47:59,4 days 23 hours 19 minutes 50 seconds,429590.0
836506|423290|655565,Assessment Decision - Qualified,Assessment Decision - Qualified,1/12/2018 16:07:49,5 days 18 hours 49 minutes 31 seconds,499771.0
836506|423290|655565,Assessment Decision - Qualified,Assessment Decision - Qualified,7/12/2018 10:57:20,0 days 0 hours 4 minutes 25 seconds,265.0
836506|423290|655565,Assessment Decision - Qualified,Assessment Decision - Qualified,7/12/2018 11:01:45,0 days 0 hours 2 minutes 10 seconds,130.0
836506|423290|655565,Assessment Outcome - Successful,Assessment Outcome - Successful,7/12/2018 11:03:55,NA,0.0
1067094|426030|660203,Send for Assessment,Send for Assessment,10/12/2018 10:50:31,0 days 0 hours 4 minutes 11 seconds,251.0
