CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME
1076747|438001|677047,Submit,Submit,2/1/2019 12:57:04
1076747|438001|677047,Send for Assessment,Send for Assessment,11/1/2019 14:46:32
370421|359353|560158,Submit,Submit,1/5/2018 23:36:36
370421|359353|560158,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,15/5/2018 10:56:45
370421|359353|560158,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,15/5/2018 10:56:58
370421|359353|560158,Send for Assessment,Send for Assessment,15/5/2018 10:57:55
783739|454578|698529,Submit,Submit,30/1/2019 21:12:50
783739|454578|698529,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,31/1/2019 7:12:45
783739|454578|698529,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,31/1/2019 7:13:17
783739|454578|698529,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,1/2/2019 10:57:33
783739|454578|698529,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,1/2/2019 10:57:49
783739|454578|698529,Send for Assessment,Send for Assessment,1/2/2019 10:58:16
830762|432576|669850,Submit,Submit,14/12/2018 15:04:31
830762|432576|669850,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,15/12/2018 14:23:17
830762|432576|669850,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,15/12/2018 14:24:01
830762|432576|669850,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,22/1/2019 15:17:40
830762|432576|669850,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,22/1/2019 15:19:01
830762|432576|669850,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,22/1/2019 15:19:08
830762|432576|669850,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,22/1/2019 15:19:15
830762|432576|669850,Send for Assessment,Send for Assessment,22/1/2019 15:19:55
875412|430086|666232,Submit,Submit,19/11/2018 8:18:40
875412|430086|666232,AR - Requested - applicant demographics,AR - Requested - Payment of international application fee,27/11/2018 10:47:46
875412|430086|666232,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,27/11/2018 10:47:46
875412|430086|666232,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,27/11/2018 10:47:46
875412|430086|666232,AR - Satisfied - work experience,AR - Satisfied - Curriculum Vitae and professional experience,27/11/2018 10:47:46
875412|430086|666232,Put Triage On-Hold,Put Triage On-Hold,27/11/2018 10:49:51
875412|430086|666232,AR - Created - applicant demographics,AR - Created - Payment of international application fee,7/12/2018 10:47:46
835863|420477|651606,Submit,Submit,14/11/2018 22:23:35
835863|420477|651606,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,16/11/2018 6:18:03
835863|420477|651606,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,16/11/2018 6:18:36
835863|420477|651606,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,22/11/2018 15:28:52
835863|420477|651606,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,22/11/2018 15:29:01
835863|420477|651606,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,22/11/2018 15:29:07
835863|420477|651606,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,22/11/2018 15:29:15
835863|420477|651606,Send for Assessment,Send for Assessment,22/11/2018 15:40:09
1138305|515182|790060,Submit,Submit,29/10/2019 15:56:59
1138305|515182|790060,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,6/11/2019 12:27:23
1138305|515182|790060,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,6/11/2019 12:28:44
1138305|515182|790060,AR - Satisfied - work experience,AR - Satisfied - Curriculum Vitae,6/11/2019 12:29:03
1138305|515182|790060,Send for Assessment,Send for Assessment,6/11/2019 12:29:27
1048849|396177|616541,Submit,Submit,25/9/2018 17:18:14
1048849|396177|616541,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,10/10/2018 10:48:46
1048849|396177|616541,AR - Created - further information,AR - Created - Further information (1),10/10/2018 10:57:19
1048849|396177|616541,Send for Assessment,Send for Assessment,10/10/2018 11:02:50
832797|478411|733948,Submit,Submit,24/4/2019 19:58:10
832797|478411|733948,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,25/4/2019 7:09:37
832797|478411|733948,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,25/4/2019 7:10:10
832797|478411|733948,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,7/5/2019 16:32:17
832797|478411|733948,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,7/5/2019 16:32:22
832797|478411|733948,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,7/5/2019 16:32:26
832797|478411|733948,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,7/5/2019 16:32:30
832797|478411|733948,Send for Assessment,Send for Assessment,7/5/2019 16:33:09
930987|361786|564008,Submit,Submit,27/5/2018 7:28:39
930987|361786|564008,AR - Created - specialisation,AR - Created - Specialisation (Master of Engineering),30/5/2018 12:36:35
930987|361786|564008,Assessment Outcome - Ineligible / Withdrawn,Assessment Outcome - Ineligible / Withdrawn,30/5/2018 12:45:32
930987|361786|564008,AR - Satisfied - specialisation,AR - Satisfied - Specialisation (Master of Engineering),7/6/2018 13:56:29
