Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,115,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Send for Assessment', 115)]",[],0,0.0
2,166,19 days 10 hours 41 minutes 41 seconds,11.0 days 1.0 hours 2.0 minutes 35.0 seconds,35.54%,"[('Send for Assessment', 166), ('Assessment Outcome - Higher Preference Successful', 67), ('Assessment Outcome - Not Successful', 33), ('Assessment Outcome - Successful', 26), ('End My Assessment', 11), ('Assessment Decision - Qualified', 7)]","[('Send for Assessment', '19.0 days 10.0 hours 41.0 minutes 41.0 seconds')]",1680101,278896841.0
3,563,19 days 13 hours 37 minutes 41 seconds,14.0 days 4.0 hours 44.0 minutes 39.0 seconds,91.65%,"[('Send for Assessment', 563), ('Assessment Outcome - Successful', 421), ('Assessment Decision - Qualified', 408), ('Assessment Outcome - Not Successful', 95), ('Assessment Decision - Not Qualified', 88), ('Assessment Outcome - Higher Preference Successful', 22)]","[('Acacdemic - Assessment Decision - Not Qualified', '9.0 days 17.0 hours 57.0 minutes 37.0 seconds'), ('AR - Satisfied - syllabus', '9.0 days 0.0 hours 48.0 minutes 18.0 seconds'), ('Assessment Decision - Qualified', '4.0 days 16.0 hours 26.0 minutes 50.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '3.0 days 5.0 hours 13.0 minutes 17.0 seconds'), ('Assessment Decision - No Decision', '3.0 days 0.0 hours 17.0 minutes 10.0 seconds'), ('End My Assessment', '22.0 days 20.0 hours 12.0 minutes 29.0 seconds'), ('AR - Satisfied - advanced standing', '20.0 days 17.0 hours 39.0 minutes 30.0 seconds'), ('OC - Created - Other', '20.0 days 10.0 hours 3.0 minutes 12.0 seconds'), ('Assessment Decision - Not Qualified', '2.0 days 12.0 hours 18.0 minutes 27.0 seconds'), ('AR - Created - Other', '16.0 days 0.0 hours 30.0 minutes 27.0 seconds'), ('Send for Assessment', '13.0 days 23.0 hours 33.0 minutes 19.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '12.0 days 13.0 hours 13.0 minutes 9.0 seconds'), ('AR - Satisfied - previous or current study', '11.0 days 4.0 hours 36.0 minutes 41.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '1.0 days 4.0 hours 30.0 minutes 22.0 seconds'), ('AR - Satisfied - application details', '1.0 days 11.0 hours 56.0 minutes 10.0 seconds'), ('Put Assessment On-Hold', '0.0 days 14.0 hours 21.0 minutes 15.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 1.0 minutes 19.0 seconds')]",1690661,951842582.0
4,331,28 days 3 hours 10 minutes 55 seconds,19.0 days 6.0 hours 45.0 minutes 19.0 seconds,85.2%,"[('Send for Assessment', 335), ('Assessment Decision - Qualified', 292), ('Assessment Outcome - Successful', 229), ('OC - Created - Other', 83), ('Assessment Outcome - Not Successful', 53), ('Assessment Decision - No Decision', 50)]","[('AR - Satisfied - advanced standing', '9.0 days 7.0 hours 52.0 minutes 29.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '9.0 days 15.0 hours 57.0 minutes 25.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '8.0 days 2.0 hours 10.0 minutes 25.0 seconds'), ('AR - Created - previous or current study', '8.0 days 18.0 hours 9.0 minutes 56.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '8.0 days 18.0 hours 57.0 minutes 13.0 seconds'), ('Assessment Decision - No Decision', '7.0 days 3.0 hours 10.0 minutes 20.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '6.0 days 4.0 hours 33.0 minutes 3.0 seconds'), ('OC - Created - Other', '6.0 days 18.0 hours 45.0 minutes 37.0 seconds'), ('Assessment Decision - System Assessed', '5.0 days 1.0 hours 27.0 minutes 19.0 seconds'), ('AR - Satisfied - further information', '5.0 days 0.0 hours 47.0 minutes 10.0 seconds'), ('Assessment Decision - Qualified', '4.0 days 23.0 hours 44.0 minutes 6.0 seconds'), ('AR - Created - Other', '33.0 days 15.0 hours 11.0 minutes 21.0 seconds'), ('AR - Satisfied - syllabus', '22.0 days 4.0 hours 31.0 minutes 59.0 seconds'), ('AR - Satisfied - entry points', '18.0 days 20.0 hours 3.0 minutes 43.0 seconds'), ('Put Assessment On-Hold', '17.0 days 8.0 hours 7.0 minutes 51.0 seconds'), ('Send for Assessment', '13.0 days 2.0 hours 32.0 minutes 19.0 seconds'), ('End My Assessment', '12.0 days 9.0 hours 17.0 minutes 49.0 seconds'), ('AR - Satisfied - ELR', '12.0 days 19.0 hours 45.0 minutes 37.0 seconds'), ('AR - Satisfied - previous or current study', '12.0 days 13.0 hours 15.0 minutes 10.0 seconds'), ('Release Assessment Hold', '11.0 days 19.0 hours 22.0 minutes 37.0 seconds'), ('Assessment Decision - Not Qualified', '1.0 days 6.0 hours 55.0 minutes 19.0 seconds'), ('AR - Satisfied - Other', '1.0 days 20.0 hours 55.0 minutes 50.0 seconds'), ('Acacdemic - Assessment Decision - System Assessed', '1.0 days 20.0 hours 53.0 minutes 0.0 seconds'), ('Back to Triage', '0.0 days 21.0 hours 9.0 minutes 16.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 16.0 hours 30.0 minutes 27.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds')]",2430655,804547109.0
5,219,33 days 19 hours 51 minutes 14 seconds,20.0 days 23.0 hours 44.0 minutes 56.0 seconds,87.21%,"[('Assessment Decision - Qualified', 265), ('Send for Assessment', 221), ('Assessment Outcome - Successful', 150), ('Acacdemic - Assessment Decision - Qualified', 64), ('End My Assessment', 63), ('OC - Created - Other', 57)]","[('AR - Not Satisfied - ELR', '8.0 days 18.0 hours 55.0 minutes 28.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '8.0 days 14.0 hours 57.0 minutes 29.0 seconds'), ('AR - Satisfied - previous or current study', '7.0 days 14.0 hours 9.0 minutes 57.0 seconds'), ('AR - Satisfied - specialisation', '6.0 days 21.0 hours 5.0 minutes 7.0 seconds'), ('Assessment Decision - No Decision', '6.0 days 17.0 hours 39.0 minutes 7.0 seconds'), ('Release Assessment Hold', '5.0 days 17.0 hours 27.0 minutes 59.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '5.0 days 15.0 hours 58.0 minutes 17.0 seconds'), ('AR - Created - further information', '5.0 days 1.0 hours 2.0 minutes 35.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '4.0 days 6.0 hours 12.0 minutes 50.0 seconds'), ('OC - Created - Other', '4.0 days 21.0 hours 7.0 minutes 50.0 seconds'), ('Assessment Decision - Qualified', '4.0 days 13.0 hours 7.0 minutes 31.0 seconds'), ('OC - Satisfied - Other', '3.0 days 21.0 hours 43.0 minutes 51.0 seconds'), ('AR - Satisfied - advanced standing', '3.0 days 14.0 hours 11.0 minutes 10.0 seconds'), ('AR - Satisfied - further information', '29.0 days 2.0 hours 49.0 minutes 16.0 seconds'), ('AR - Created - specialisation', '28.0 days 2.0 hours 34.0 minutes 38.0 seconds'), ('AR - Satisfied - syllabus', '24.0 days 22.0 hours 34.0 minutes 35.0 seconds'), ('End My Assessment', '24.0 days 19.0 hours 44.0 minutes 21.0 seconds'), ('Assessment Decision - Not Qualified', '2.0 days 8.0 hours 44.0 minutes 45.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '2.0 days 17.0 hours 56.0 minutes 36.0 seconds'), ('AR - Created - previous or current study', '2.0 days 11.0 hours 33.0 minutes 54.0 seconds'), ('AR - Satisfied - ELR', '18.0 days 6.0 hours 54.0 minutes 39.0 seconds'), ('AR - Created - Other', '16.0 days 22.0 hours 44.0 minutes 57.0 seconds'), ('Put Assessment On-Hold', '15.0 days 18.0 hours 22.0 minutes 24.0 seconds'), ('Put Triage On-Hold', '11.0 days 1.0 hours 31.0 minutes 8.0 seconds'), ('Send for Assessment', '10.0 days 8.0 hours 20.0 minutes 45.0 seconds'), ('Assessment Decision - System Assessed', '10.0 days 7.0 hours 52.0 minutes 38.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '1.0 days 6.0 hours 9.0 minutes 1.0 seconds'), ('AR - Satisfied - Other', '1.0 days 22.0 hours 29.0 minutes 4.0 seconds'), ('Back to Triage', '0.0 days 6.0 hours 36.0 minutes 57.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 6.0 minutes 26.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 35.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",2922674,640065608.0
6,156,35 days 21 hours 27 minutes 16 seconds,26.0 days 12.0 hours 33.0 minutes 26.0 seconds,85.26%,"[('Assessment Decision - Qualified', 219), ('Send for Assessment', 161), ('Assessment Outcome - Successful', 104), ('Assessment Decision - No Decision', 77), ('Acacdemic - Assessment Decision - Qualified', 63), ('End My Assessment', 52)]","[('AR - Satisfied - entry points', '8.0 days 21.0 hours 52.0 minutes 21.0 seconds'), ('End My Assessment', '7.0 days 4.0 hours 44.0 minutes 51.0 seconds'), ('AR - Satisfied - advanced standing', '7.0 days 20.0 hours 20.0 minutes 47.0 seconds'), ('Assessment Decision - Qualified', '4.0 days 12.0 hours 38.0 minutes 21.0 seconds'), ('Assessment Decision - No Decision', '3.0 days 3.0 hours 15.0 minutes 30.0 seconds'), ('AR - Satisfied - syllabus', '28.0 days 19.0 hours 3.0 minutes 57.0 seconds'), ('Assessment Decision - System Assessed', '20.0 days 19.0 hours 30.0 minutes 1.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '2.0 days 8.0 hours 47.0 minutes 36.0 seconds'), ('AR - Satisfied - ELR', '2.0 days 8.0 hours 11.0 minutes 12.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '2.0 days 7.0 hours 20.0 minutes 4.0 seconds'), ('OC - Satisfied - Other', '2.0 days 23.0 hours 59.0 minutes 59.0 seconds'), ('AR - Created - further information', '2.0 days 23.0 hours 55.0 minutes 42.0 seconds'), ('Put Triage On-Hold', '19.0 days 18.0 hours 46.0 minutes 10.0 seconds'), ('AR - Satisfied - previous or current study', '19.0 days 1.0 hours 56.0 minutes 42.0 seconds'), ('Put Assessment On-Hold', '17.0 days 9.0 hours 23.0 minutes 19.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '13.0 days 8.0 hours 13.0 minutes 7.0 seconds'), ('AR - Satisfied - Other', '13.0 days 18.0 hours 18.0 minutes 59.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '13.0 days 17.0 hours 59.0 minutes 33.0 seconds'), ('AR - Created - Other', '10.0 days 20.0 hours 45.0 minutes 2.0 seconds'), ('Send for Assessment', '10.0 days 19.0 hours 15.0 minutes 55.0 seconds'), ('AR - Created - previous or current study', '1.0 days 6.0 hours 36.0 minutes 24.0 seconds'), ('Back to Triage', '1.0 days 22.0 hours 44.0 minutes 39.0 seconds'), ('AR - Satisfied - application details', '0.0 days 8.0 hours 0.0 minutes 24.0 seconds'), ('Release Assessment Hold', '0.0 days 22.0 hours 18.0 minutes 2.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 6.0 minutes 36.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 59.0 minutes 35.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 20.0 seconds'), ('Acacdemic - Assessment Outcome - Not Successful', '0.0 days 0.0 hours 1.0 minutes 25.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 41.0 seconds')]",3101236,483792929.0
7,77,35 days 16 hours 36 minutes 27 seconds,22.0 days 2.0 hours 16.0 minutes 35.0 seconds,80.52%,"[('Assessment Decision - Qualified', 100), ('Send for Assessment', 84), ('Assessment Decision - No Decision', 52), ('Assessment Outcome - Successful', 49), ('Acacdemic - Assessment Decision - Qualified', 36), ('Put Assessment On-Hold', 29)]","[('Put Assessment On-Hold', '7.0 days 18.0 hours 18.0 minutes 8.0 seconds'), ('Send for Assessment', '7.0 days 12.0 hours 37.0 minutes 41.0 seconds'), ('OC - Satisfied - Other', '6.0 days 23.0 hours 59.0 minutes 57.0 seconds'), ('AR - Satisfied - syllabus', '6.0 days 2.0 hours 38.0 minutes 47.0 seconds'), ('AR - Satisfied - ELR', '6.0 days 12.0 hours 7.0 minutes 0.0 seconds'), ('End My Assessment', '6.0 days 11.0 hours 50.0 minutes 42.0 seconds'), ('Release Assessment Hold', '5.0 days 4.0 hours 20.0 minutes 36.0 seconds'), ('AR - Satisfied - Other', '5.0 days 21.0 hours 43.0 minutes 30.0 seconds'), ('AR - Created - Other', '4.0 days 2.0 hours 27.0 minutes 59.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '3.0 days 3.0 hours 42.0 minutes 31.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '3.0 days 15.0 hours 47.0 minutes 53.0 seconds'), ('AR - Created - previous or current study', '2.0 days 3.0 hours 25.0 minutes 40.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 23.0 hours 52.0 minutes 47.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '2.0 days 20.0 hours 12.0 minutes 47.0 seconds'), ('Assessment Decision - Qualified', '2.0 days 17.0 hours 50.0 minutes 41.0 seconds'), ('AR - Satisfied - previous or current study', '16.0 days 5.0 hours 47.0 minutes 7.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '14.0 days 8.0 hours 49.0 minutes 43.0 seconds'), ('Put Triage On-Hold', '14.0 days 0.0 hours 6.0 minutes 8.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '117.0 days 5.0 hours 43.0 minutes 7.0 seconds'), ('AR - Satisfied - GAM', '1.0 days 13.0 hours 22.0 minutes 17.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 4.0 hours 9.0 minutes 59.0 seconds'), ('OC - Created - Other', '0.0 days 2.0 hours 11.0 minutes 15.0 seconds'), ('Back to Triage', '0.0 days 14.0 hours 37.0 minutes 53.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 30.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 3.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds'), ('Assessment Decision - System Assessed', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",3083787,237451671.0
8,54,48 days 17 hours 13 minutes 39 seconds,29.0 days 23.0 hours 18.0 minutes 29.0 seconds,83.33%,"[('Assessment Decision - Qualified', 93), ('Send for Assessment', 60), ('Assessment Decision - No Decision', 53), ('Assessment Outcome - Successful', 33), ('Put Assessment On-Hold', 21), ('AR - Satisfied - previous or current study', 19)]","[('AR - Satisfied - syllabus', '9.0 days 20.0 hours 43.0 minutes 7.0 seconds'), ('AR - Satisfied - previous or current study', '9.0 days 19.0 hours 9.0 minutes 40.0 seconds'), ('AR - Created - further information', '8.0 days 7.0 hours 53.0 minutes 49.0 seconds'), ('Assessment Decision - System Assessed', '7.0 days 4.0 hours 38.0 minutes 9.0 seconds'), ('AR - Created - Other', '6.0 days 5.0 hours 58.0 minutes 22.0 seconds'), ('OC - Satisfied - Other', '6.0 days 17.0 hours 25.0 minutes 16.0 seconds'), ('AR - Satisfied - advanced standing', '5.0 days 21.0 hours 51.0 minutes 52.0 seconds'), ('End My Assessment', '5.0 days 18.0 hours 31.0 minutes 3.0 seconds'), ('AR - Satisfied - Other', '5.0 days 12.0 hours 20.0 minutes 56.0 seconds'), ('Put Assessment On-Hold', '4.0 days 13.0 hours 43.0 minutes 16.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '3.0 days 1.0 hours 13.0 minutes 54.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 8.0 hours 20.0 minutes 43.0 seconds'), ('Assessment Decision - Qualified', '2.0 days 3.0 hours 58.0 minutes 13.0 seconds'), ('Back to Triage', '2.0 days 0.0 hours 26.0 minutes 13.0 seconds'), ('AR - Satisfied - application details', '15.0 days 23.0 hours 18.0 minutes 21.0 seconds'), ('Send for Assessment', '12.0 days 16.0 hours 8.0 minutes 5.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '10.0 days 1.0 hours 41.0 minutes 25.0 seconds'), ('AR - Satisfied - ELR', '1.0 days 9.0 hours 23.0 minutes 46.0 seconds'), ('AR - Satisfied - further information', '1.0 days 22.0 hours 26.0 minutes 47.0 seconds'), ('Release Assessment Hold', '1.0 days 21.0 hours 5.0 minutes 26.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '1.0 days 1.0 hours 3.0 minutes 3.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 7.0 hours 58.0 minutes 52.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 1.0 hours 24.0 minutes 56.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 7.0 minutes 49.0 seconds'), ('Acacdemic - Assessment Outcome - No Outcome Set', '0.0 days 0.0 hours 4.0 minutes 19.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 39.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 33.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds')]",4209219,227297830.0
9,39,42 days 22 hours 37 minutes 14 seconds,34.0 days 18.0 hours 35.0 minutes 19.0 seconds,82.05%,"[('Assessment Decision - Qualified', 76), ('Send for Assessment', 46), ('Assessment Decision - No Decision', 33), ('Assessment Outcome - Successful', 24), ('Put Assessment On-Hold', 19), ('Release Assessment Hold', 18)]","[('Send for Assessment', '7.0 days 10.0 hours 44.0 minutes 41.0 seconds'), ('AR - Created - Other', '5.0 days 21.0 hours 51.0 minutes 30.0 seconds'), ('Back to Triage', '5.0 days 1.0 hours 2.0 minutes 28.0 seconds'), ('AR - Satisfied - previous or current study', '5.0 days 0.0 hours 33.0 minutes 11.0 seconds'), ('End My Assessment', '4.0 days 18.0 hours 11.0 minutes 55.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '4.0 days 10.0 hours 0.0 minutes 1.0 seconds'), ('Assessment Decision - Qualified', '3.0 days 6.0 hours 36.0 minutes 49.0 seconds'), ('Put Triage On-Hold', '29.0 days 3.0 hours 8.0 minutes 57.0 seconds'), ('AR - Satisfied - advanced standing', '2.0 days 12.0 hours 0.0 minutes 9.0 seconds'), ('Put Assessment On-Hold', '12.0 days 7.0 hours 55.0 minutes 49.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 19.0 hours 31.0 minutes 38.0 seconds'), ('OC - Created - Other', '0.0 days 7.0 hours 21.0 minutes 13.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 23.0 hours 11.0 minutes 21.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 14.0 hours 13.0 minutes 8.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 12.0 hours 49.0 minutes 5.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 11.0 hours 46.0 minutes 37.0 seconds'), ('Release Assessment Hold', '0.0 days 11.0 hours 11.0 minutes 52.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '0.0 days 0.0 hours 43.0 minutes 8.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 4.0 minutes 2.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 3.0 minutes 29.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 21.0 minutes 12.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 2.0 minutes 19.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Assessment Decision - System Assessed', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 34.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds')]",3710234,144699164.0
10,22,72 days 16 hours 30 minutes 40 seconds,23.0 days 10.0 hours 23.0 minutes 5.5 seconds,81.82%,"[('Assessment Decision - Qualified', 37), ('Assessment Decision - No Decision', 27), ('Send for Assessment', 26), ('Put Assessment On-Hold', 14), ('Release Assessment Hold', 14), ('Assessment Outcome - Successful', 13)]","[('AR - Satisfied - GAM', '8.0 days 23.0 hours 29.0 minutes 24.0 seconds'), ('Put Assessment On-Hold', '61.0 days 7.0 hours 35.0 minutes 46.0 seconds'), ('AR - Created - Other', '4.0 days 7.0 hours 45.0 minutes 41.0 seconds'), ('Send for Assessment', '4.0 days 13.0 hours 37.0 minutes 25.0 seconds'), ('Back to Triage', '3.0 days 6.0 hours 7.0 minutes 16.0 seconds'), ('AR - Satisfied - application details', '23.0 days 0.0 hours 0.0 minutes 26.0 seconds'), ('End My Assessment', '2.0 days 5.0 hours 14.0 minutes 50.0 seconds'), ('AR - Created - previous or current study', '2.0 days 12.0 hours 12.0 minutes 30.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '2.0 days 10.0 hours 7.0 minutes 33.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 5.0 hours 29.0 minutes 5.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 23.0 hours 43.0 minutes 35.0 seconds'), ('AR - Satisfied - advanced standing', '1.0 days 18.0 hours 8.0 minutes 55.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '1.0 days 11.0 hours 37.0 minutes 43.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '0.0 days 18.0 hours 32.0 minutes 57.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 13.0 hours 17.0 minutes 57.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 11.0 hours 19.0 minutes 10.0 seconds'), ('Release Assessment Hold', '0.0 days 10.0 hours 48.0 minutes 37.0 seconds'), ('AR - Satisfied - Other', '0.0 days 1.0 hours 21.0 minutes 5.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 8.0 minutes 53.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 7.0 minutes 49.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 2.0 minutes 14.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 20.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 18.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 48.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '0.0 days 0.0 hours 0.0 minutes 40.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds')]",6280240,138165296.0
